"% V-rep data recorded Mon 07 Nov 2016 06:29:19 PM PST "
"% FREQ =   9.425 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 25 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2086,      -52,   -32767,        0,   5.788,  -1.641, 0,0,0, 0,0,0, -20.006,  -0.503, 912,   0.100,   0.100,   0.030,  -0.000,   0.001,  -0.005,  -3.142,  -3.142,   0.000,   0.000,  -0.200,  -0.204,  -0.005,   0.002, -20.006, -20.371,  -0.503,   0.236, 4.703e-05, -4.124e-05, -1.826e-05, 1.662e-05, 4.72e-07, -1.329e-08, 8.542e-07, 6.979e-07, 7.402e-07, 7.339e-07, 3.033e-06, 1.567e-06, 1.229e-06, -2.518e-06, -1.85e-06, -2.594e-06, 1.896e-06, -3.678e-07, -2.626e-06, -1.28e-06, 1.753e-06, -1.639e-06
   10000,    -4138,      339,   -31784,      984,   1.112,   0.884,      0,      0,      0,     0,      1,  -4100, -19.674,   3.749, 912,   0.100,   0.100,   0.028,  -0.003,   0.001,  -0.008,  -3.047,  -3.047,   0.094,   0.094,  -0.397,  -0.403,   0.032,   0.040, -19.674, -19.935,   3.749,   3.759, 1.705e-06, -5.931e-07, -7.178e-06, 8.062e-06, 3.008e-07, -2.484e-08, 1.475e-07, -7.466e-07, -2.819e-07, 6.421e-07, -1.903e-06, -2.402e-06, -1.123e-06, 3.221e-07, -1.317e-06, 5.046e-08, 2.069e-07, -2.084e-07, -3.259e-07, -7.453e-07, -3.981e-06, 7.933e-08
   20000,    -6225,      948,   -30801,     1967,   0.374,  -0.182,   -303,     37,   -251,   441,    317,  -2063, -20.010,   5.839, 912,   0.100,   0.100,   0.026,  -0.008,   0.002,  -0.010,  -2.953,  -2.953,   0.188,   0.188,  -0.597,  -0.603,   0.091,   0.100, -20.010, -20.030,   5.839,   5.977, 3.021e-07, 7.202e-08, -8.675e-06, 8.494e-06, 1.005e-07, 9.134e-09, 2.153e-07, -1.958e-07, 3.531e-07, 2.612e-08, 2.351e-07, 1.208e-07, -8.214e-08, 4.575e-07, -4.846e-07, 9.883e-08, -3.012e-07, 9.084e-07, -1.748e-07, 9.962e-07, 4.972e-07, 3.335e-07
   30000,    -8303,     1717,   -29818,     2950,  -0.058,  -0.208,   -395,     36,   -205,   -72,   -174,      1, -19.922,   7.369, 912,   0.100,   0.100,   0.022,  -0.013,   0.002,  -0.012,  -2.859,  -2.859,   0.283,   0.283,  -0.796,  -0.804,   0.165,   0.173, -19.922, -20.060,   7.369,   7.284, 2.661e-06, -2.718e-06, -4.307e-06, 4.098e-06, 1.165e-07, 3.905e-07, -6.568e-08, -1.102e-07, -4.859e-07, -8.297e-08, -3.444e-08, 1.492e-06, -1.056e-07, 3.189e-07, 4.198e-07, -1.433e-07, -1.854e-07, -9.016e-07, 1.608e-07, 2.944e-07, 8.722e-07, 2.165e-07
   40000,   -10408,     2455,   -28835,     3933,   1.276, -18.675,   -503,     41,   -181,   -46,     18,    -72, -20.175,   7.081, 912,   0.100,   0.100,   0.018,   0.002,   0.005,  -0.011,  -2.765,  -2.765,   0.377,   0.377,  -0.998,  -1.004,   0.235,   0.253, -20.175, -19.991,   7.081,   8.045, 5.904e-06, -4.628e-06, -1.998e-05, 1.3e-06, 2.447e-06, -2.646e-06, -3.642e-06, -0.001949, -0.0005585, 0.003235, 1.224e-06, 2.155e-07, -3.096e-06, 7.584e-07, -4.224e-07, 7.407e-07, -1.917e-06, -9.64e-07, 8.084e-07, 6.613e-07, -2.652e-06, 2.133e-06
   50000,   -12538,     3368,   -27852,     4916, -39.086, -40.080,   1414,    271,    100,   -75,     50,    -18, -20.422,   8.747, 912,   0.099,   0.100,   0.015,   0.095,   0.030,   0.008,  -2.670,  -2.670,   0.471,   0.471,  -1.202,  -1.207,   0.323,   0.336, -20.422, -20.313,   8.747,   8.320, -2.055e-05, -1.853e-05, -3.439e-05, -5.69e-06, 1.335e-06, 1.535e-06, -2.34e-06, -0.003738, -0.003191, 0.005914, 3.453e-06, -1.931e-06, 2.315e-08, 6.115e-07, 3.053e-06, -4.556e-06, -0.005016, -0.002361, 0.006785, -0.0002987, -2.076e-05, 0.0005376
   60000,   -14625,     4303,   -26869,     5899, -24.066,  -9.109,   8668,   2465,   1829,   332,   -172,  -1304, -20.007,   8.967, 912,   0.097,   0.099,   0.015,   0.044,   0.039,   0.032,  -2.576,  -2.576,   0.565,   0.565,  -1.402,  -1.409,   0.412,   0.429, -20.007, -20.237,   8.967,   9.294, -1.69e-05, -7.161e-06, -2.091e-05, 1.18e-05, 1.469e-06, -9.7e-07, -1.852e-06, -0.001034, -0.001564, 0.006738, 2.552e-06, -4.672e-06, -4.68e-06, -9.64e-05, 9.597e-05, 0.0001629, -0.009046, 0.005278, 0.01108, -0.0007111, -0.0002346, 0.001311
   70000,   -16726,     5357,   -25886,     6882,   3.478,  15.700,  -4765,    897,   2109,  2956,   1078,  -8542, -20.148,  10.106, 912,   0.096,   0.098,   0.016,   0.067,   0.048,   0.051,  -2.482,  -2.482,   0.660,   0.660,  -1.604,  -1.610,   0.514,   0.522, -20.148, -20.033,  10.106,   9.329, 4.836e-06, -1.358e-06, -1.763e-06, 1.746e-05, 4.534e-07, -1.092e-06, -2.732e-06, 0.001614, 0.0007902, 0.002284, 1.217e-06, 5.106e-06, -4.201e-06, 1.106e-06, -7.778e-07, 2.035e-06, -5.394e-05, 0.0003802, 0.0005322, 8.209e-07, -1.028e-05, 2.062e-05
   80000,   -18855,     6305,   -24903,     7865,   6.434,   0.093,   2200,    739,   1793,  3339,   1022, -15357, -20.412,   9.091, 912,   0.095,   0.098,   0.017,   0.102,   0.044,   0.063,  -2.388,  -2.388,   0.754,   0.754,  -1.808,  -1.804,   0.604,   0.614, -20.412, -19.472,   9.091,   9.190, -9.476e-06, 1.591e-05, -6.114e-06, 6.207e-06, -1.33e-06, 9.892e-07, 1.179e-06, -4.921e-06, -1.134e-07, -3.182e-06, -3.004e-07, -1.285e-06, -7.448e-07, 2.742e-07, 3.912e-07, -8.399e-07, -0.000546, 0.0006035, 0.00113, 0.0003316, -0.0004648, 0.0006173
   90000,   -20811,     7273,   -23920,     8848,  23.933,   0.915,   3239,   -518,   1294,  -200,  -3450, -11558, -18.751,   9.281, 912,   0.094,   0.098,   0.018,   0.107,   0.025,   0.073,  -2.293,  -2.293,   0.848,   0.848,  -1.995,  -1.986,   0.697,   0.708, -18.751, -18.153,   9.281,   9.374, -4.226e-06, 2.816e-05, -9.883e-06, 1.08e-05, -5.051e-07, -5.46e-07, 1.039e-06, -7.832e-07, 6.939e-07, 8.949e-07, -5.033e-07, -2.653e-06, -1.656e-07, 0.0002096, 6.324e-05, 0.0001472, -0.002504, 0.002551, 0.003173, 0.0003322, -0.0002215, 0.0002972
