"% V-rep data recorded 04/30/17 21:13:55 "
"% FREQ =   9.425 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2067,      -51,   -32767,        0,   8.685,  -3.119, 0,0,0, 0,0,0, -19.826,  -0.489, 912, 0.09993, 0.09997, 0.02951, -0.0001811, 0.0004966, -0.004109,  -3.142,  -3.142,   0.000,   0.000,  -0.198,  -0.203,  -0.005,   0.002, -19.826, -20.290,  -0.489,   0.208, 3.538e-005, -2.669e-005, -2.071e-005, 1.759e-005, 3.673e-007, 3.017e-007, -6.31e-007, -9.633e-007, 1.305e-006, -1.449e-006, 4.794e-006, 2.088e-006, 2.147e-006, -5.215e-006, -1.645e-006, -3.573e-006, 2.384e-006, -5.09e-007, -1.432e-006, -1.367e-006, 1.369e-006, -2.757e-006
   10000,    -4174,      317,   -31784,      984,  -0.660,   2.622,      0,      0,      0,     0,      1,  -4100, -20.194,   3.523, 912, 0.09986, 0.09995, 0.02805, -0.002947, 0.0007811, -0.006533,  -3.047,  -3.047,   0.094,   0.094,  -0.400,  -0.403,   0.030,   0.039, -20.194, -20.046,   3.523,   3.659, 1.269e-005, -1.335e-005, -2.251e-006, 4.873e-006, -1.351e-007, -3.798e-007, -2.629e-007, -2.34e-007, -7.927e-007, 7.268e-007, -3.541e-006, -3.251e-006, -2.701e-006, 2.016e-006, -1.924e-006, 6.164e-007, 8.129e-007, 8.189e-007, -5.165e-007, -4.111e-007, -3.031e-006, 9.268e-008
   20000,    -6263,      939,   -30801,     1967,  -0.333,   0.039,   -259,     26,   -227,   306,    224,  -2057, -20.032,   5.960, 912, 0.09981, 0.09992, 0.02561, -0.007045, 0.001146, -0.008299,  -2.953,  -2.953,   0.188,   0.188,  -0.601,  -0.604,   0.090,   0.098, -20.032, -20.078,   5.960,   5.979, 1.456e-005, -1.489e-005, -8.09e-006, 8.128e-006, -2.305e-007, 3.949e-007, 2.139e-009, 1.852e-007, -3.037e-007, 2.363e-007, -1.35e-007, 4.017e-007, -2.107e-007, 1.416e-006, -7.788e-007, 1.347e-007, -1.302e-006, -1.209e-006, -4.002e-007, 6.606e-007, -2.124e-007, 9.114e-008
   30000,    -8318,     1704,   -29818,     2950,  -0.753,  -0.975,   -384,     32,   -166,   -41,   -149,     -4, -19.700,   7.337, 912, 0.09977, 0.09988, 0.02219, -0.01259, 0.001708, -0.009854,  -2.859,  -2.859,   0.283,   0.283,  -0.798,  -0.804,   0.163,   0.172, -19.700, -19.998,   7.337,   7.325, 7.937e-006, -8.69e-006, -4.096e-006, 3.12e-006, 6.922e-008, 2.01e-007, 1.546e-007, -3.301e-007, 2.498e-007, -2.924e-007, 8.934e-007, 1.389e-006, 5.464e-007, 5.502e-007, 7.516e-007, 3.084e-008, 3.858e-007, 1.961e-006, -3.984e-008, 3.583e-007, 6.44e-008, -1.303e-007
   40000,   -10372,     2432,   -28835,     3933,   1.989, -16.574,   -521,     49,   -146,   -40,     11,    -31, -19.692,   6.976, 912, 0.09969, 0.09993, 0.01804, 0.003591, 0.004018, -0.009586,  -2.765,  -2.765,   0.377,   0.377,  -0.994,  -1.005,   0.233,   0.254, -19.692, -20.092,   6.976,   8.192, 2.044e-006, -5.506e-008, -2.256e-005, 5.987e-006, 5.75e-007, -1.694e-006, -3.841e-006, -0.001865, -0.0006087, 0.004187, 1.832e-006, 5.641e-007, -2.807e-006, 9.288e-007, -3.211e-007, 1.509e-006, -1.501e-006, -2.2e-006, 1.403e-006, 4.379e-007, -1.467e-006, 2.411e-006
   50001,   -12463,     3385,   -27852,     4916, -51.860, -41.956,   1517,    232,     28,   -62,     17,    -17, -20.053,   9.144, 912, 0.09926, 0.09988, 0.01497, 0.09849, 0.02378, 0.003173,  -2.670,  -2.670,   0.471,   0.471,  -1.195,  -1.206,   0.325,   0.335, -20.053, -20.059,   9.144,   8.172, -4.623e-005, -5.631e-006, -1.317e-005, -2.878e-005, 2.639e-006, 1.612e-006, -5.524e-007, -0.004155, -0.003717, 0.009819, 1.683e-006, -3.796e-006, -5.265e-007, -0.0004063, 6.912e-005, 0.0008052, -0.007478, -0.002746, 0.01265, -0.0004648, 4.398e-005, 0.0008087
   60000,   -14519,     4502,   -26869,     5899, -26.771, -28.618,   8890,   1942,   1230,   144,     40,   -990, -19.705,  10.706, 912, 0.09825, 0.09898, 0.01505, 0.07116, 0.03954, 0.02682,  -2.576,  -2.576,   0.565,   0.565,  -1.392,  -1.407,   0.432,   0.437, -19.705, -20.101,  10.706,  10.152, -2.534e-005, -1.428e-006, -8.282e-005, 5.42e-005, 4.415e-006, -5.711e-006, -7.296e-006, -0.003408, -0.003013, 0.01515, 7.825e-006, -1.036e-005, -6.674e-006, -7.646e-005, 9.662e-005, 0.0001098, -0.0113, 0.00481, 0.009587, -0.001007, 0.0001641, 0.001634
   70001,   -16589,     5392,   -25886,     6882,  14.873,   8.968,  -2559,   1489,   2159,  1151,   1411,  -8172, -19.850,   8.533, 912, 0.09699, 0.09868, 0.01744, 0.122, 0.04386, 0.02953,  -2.482,  -2.482,   0.660,   0.660,  -1.591,  -1.600,   0.517,   0.525, -19.850, -19.320,   8.533,   8.773, 3.319e-006, 1.155e-005, 7.806e-006, 1.162e-006, -2.657e-006, 2.198e-006, 2.932e-007, 0.0008862, -0.0004027, 0.003777, -2.601e-006, 1.736e-005, -7.206e-006, -1.401e-007, 1.135e-006, -9.345e-007, -0.003721, 0.004836, 0.005431, -7.613e-005, -0.0007725, 0.001886
   80000,   -18683,     6374,   -24903,     7865,   0.498,   0.294,   4775,    283,    447,  3001,   -701, -17466, -20.071,   9.410, 912, 0.09587, 0.09856, 0.01928, 0.1644, 0.04006, 0.02808,  -2.388,  -2.388,   0.754,   0.754,  -1.791,  -1.797,   0.611,   0.616, -20.071, -19.713,   9.410,   9.108, -1.259e-005, 1.309e-005, -1.381e-005, 1.41e-005, 5.963e-007, 2.681e-007, 4.826e-008, -2.389e-006, -2.554e-006, -3.091e-008, 1.367e-006, -4.809e-006, -5.271e-007, 8.941e-007, 2.972e-007, 3.964e-007, -0.0001017, 0.0001211, 0.0001329, 6.078e-007, 9.604e-007, 7.937e-008
   90001,   -20672,     7300,   -23920,     8848,   8.395,   1.269,   3971,   -470,     41,  1726,  -1743, -13680, -19.070,   8.880, 912, 0.09483, 0.09849, 0.02028, 0.1943, 0.03146, 0.03048,  -2.293,  -2.293,   0.848,   0.848,  -1.982,  -1.980,   0.700,   0.710, -19.070, -18.289,   8.880,   9.466, -2.43e-005, 3.269e-005, -2.269e-005, 2.396e-005, -2.701e-007, -6.795e-007, 1.362e-006, -2.834e-007, 1.164e-006, 1.039e-006, 5.927e-007, -6.274e-006, 2.216e-008, 0.0001643, -6.859e-005, 0.0001284, -0.0005959, 0.001232, 0.002797, 0.0002091, -9.28e-005, 0.0001737
  100001,   -21562,     8244,   -22937,     9831,  26.057,  -2.549,   2781,   -883,    339,  -337,  -1126,  -1865,  -8.532,   9.051, 912, 0.09392, 0.09852, 0.02052, 0.1947, 0.01825, 0.0377,  -2.199,  -2.199,   0.942,   0.942,  -2.067,  -2.064,   0.790,   0.802,  -8.532,  -8.415,   9.051,   9.183, -1.213e-005, 3.818e-005, -7.312e-006, 4.763e-006, -8.935e-007, 1.794e-006, 3.681e-007, 4.67e-007, -6.093e-007, 5.038e-007, -5.848e-007, 5.561e-006, 9.609e-007, 0.001494, -0.000243, 0.001128, -0.0008423, 0.001244, 0.001253, 7.156e-008, -2.06e-006, -5.975e-008
  110000,   -21702,     9213,   -21954,    10814,  23.144,  -0.814,      0,  -1240,    679,  -282,   -629,   -579,  -1.344,   9.288, 912, 0.09316, 0.09861, 0.01993, 0.172, 0.007775, 0.04763,  -2.105,  -2.105,   1.037,   1.037,  -2.081,  -2.076,   0.883,   0.895,  -1.344,  -1.180,   9.288,   9.260, -9.867e-006, 3.301e-005, -5.795e-006, 4.981e-006, -3.885e-007, 4.841e-007, -1.121e-007, -4.085e-007, -6.123e-007, -6.647e-008, -9.9e-007, 2.4e-006, -2.716e-007, 0.002002, 0.001681, 0.001505, -2.653e-005, 3.598e-005, 5.206e-005, -6.104e-007, 1.778e-006, -7.566e-007
  120000,   -21434,    10177,   -20971,    11797,  24.659,   1.160,  -2162,   -902,    895,  -495,  -1260,   -909,   2.570,   9.248, 912, 0.09256, 0.09897, 0.01868, 0.1379, 0.005356, 0.05348,  -2.011,  -2.011,   1.131,   1.131,  -2.055,  -2.046,   0.976,   0.990,   2.570,   2.967,   9.248,   9.495, -3.224e-006, 2.788e-005, -1.127e-005, 1.243e-005, -1.547e-008, -1.316e-006, -4.542e-007, -3.689e-007, 1.044e-006, 3.822e-007, -2.114e-007, -3.622e-006, -9.677e-008, 0.001805, 0.003028, 0.00218, 3.534e-005, 8.595e-005, 0.0003457, -6.304e-007, -1.522e-006, -4.265e-007
  130000,   -20871,    11174,   -19988,    12780,  19.711,  -0.427,  -3210,    -73,    527,  -718,   -778,   -540,   5.396,   9.553, 912, 0.09216, 0.09962, 0.01679, 0.0883, 0.009274, 0.05649,  -1.916,  -1.916,   1.225,   1.225,  -2.001,  -1.994,   1.071,   1.085,   5.396,   5.219,   9.553,   9.493, -3.71e-006, 2.342e-005, -1.231e-005, 1.189e-005, -2.519e-007, -1.101e-008, -3.526e-007, -3.316e-007, 3.177e-007, 3.365e-007, -3.382e-007, -1.381e-007, 9.984e-008, 0.001773, 0.002442, 0.001789, 0.0001547, -3.701e-005, 0.0007988, -3.245e-007, 1.54e-006, -5.121e-007
  140001,   -20120,    11907,   -19005,    13763,  10.984,  -9.962,  -4631,    617,    265,  -879,  -1391,   -932,   7.200,   7.032, 912, 0.09168, 0.1004, 0.01501, 0.06036, 0.01827, 0.06397,  -1.822,  -1.822,   1.319,   1.319,  -1.929,  -1.925,   1.142,   1.178,   7.200,   6.907,   7.032,   9.375, -1.051e-005, 2.149e-005, -2.215e-005, 1.219e-005, 2.96e-006, 1.722e-006, -3.086e-006, -0.001478, -0.00133, 0.008793, -0.0009168, -0.0002148, 0.001538, 0.0006382, 0.001166, 0.003202, -0.0007471, -0.001825, 0.003378, -0.0005639, -9.238e-005, 0.001325
