"% V-rep data recorded 02/13/17 08:27:11 "
"% FREQ =   9.425 "
"% PHASE =   1.920 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2107,      -28,    20025,        0, -319.304, -22.062, 0,0,0, 0,0,0,  20.199,  -0.276, 912, 0.1, 0.1, 0.02951, 0.002337, -0.0002244, 0.002627,   1.920,   1.920,   0.000,   0.000,   0.202,   0.199,  -0.003,   0.002,  20.199,  19.870,  -0.276,   0.209, 0.0009922, -0.001312, -0.004188, 0.004166, 0.0009421, -0.001123, 0.000339, 5.467e-005, 0.00203, 0.0003718, 0.0006568, -0.003308, -0.0009608, 0.006087, 0.004449, 0.001182, -0.001659, -0.0005913, -0.002669, 0.003915, -0.003465, 0.001468
   10000,     4182,      355,    21008,      984,   6.140, -74.460,      0,      0,      0,     0,      1,  -4100,  19.891,   3.674, 912, 0.1001, 0.09998, 0.02804, -0.0001397, -0.0004975, 0.008544,   2.014,   2.014,   0.094,   0.094,   0.401,   0.398,   0.034,   0.040,  19.891,  19.970,   3.674,   3.761, 0.001254, -0.001247, -0.002576, 0.002501, -0.0001843, 0.001568, -0.0005382, -0.0002089, -0.0005964, -0.0004242, 0.002094, 0.002277, 0.002128, -0.001062, -0.003691, -0.0009088, -0.001209, -6.59e-005, -0.001154, 0.001258, 0.004581, 0.0001424
   20000,     6255,      972,    21991,     1967,   4.402, -35.244,   -232,    -25,    556,  -191,     -2,  -2038,  19.878,   5.921, 912, 0.1001, 0.09994, 0.02562, -0.00509, -0.0004779, 0.01787,   2.108,   2.108,   0.188,   0.188,   0.600,   0.599,   0.093,   0.099,  19.878,  20.049,   5.921,   5.954, 0.002018, -0.002013, -0.001999, 0.001963, 0.000279, 0.0006017, 0.0001504, -0.0003722, -0.0008915, -0.0001404, -9.058e-005, 0.001157, 0.0002971, -0.00282, -0.00419, -0.00176, 0.0008872, 0.000486, -9.686e-005, -0.001479, -0.003544, -0.001744
   30000,     8348,     1741,    22975,     2950,  67.665,  13.197,   -464,      6,    876,     0,    -83,    -57,  20.065,   7.364, 912, 0.1002, 0.09991, 0.02222, -0.009263, -0.0005187, 0.03056,   2.203,   2.203,   0.283,   0.283,   0.800,   0.797,   0.167,   0.173,  20.065,  19.827,   7.364,   7.327, 0.002003, -0.001935, -0.002146, 0.002159, 0.0006429, -4.375e-005, 0.0004402, 0.0002631, -0.0005357, 3.814e-005, -0.0009853, -0.0003551, -0.001447, -0.0004848, 0.002205, -0.001805, 0.0008103, -7.343e-005, 0.001237, -0.001521, -0.002297, -0.002097
   40000,    10450,     2577,    23958,     3933, -400.777, -820.278,   -391,      4,   1192,    -7,    -52,    -65,  20.147,   8.021, 912, 0.1002, 0.09989, 0.01791, -0.006686, 0.0004759, 0.04681,   2.297,   2.297,   0.377,   0.377,   1.002,   0.996,   0.247,   0.254,  20.147,  19.908,   8.021,   8.142, 0.0008263, -0.001227, -0.002792, 0.001972, 0.001153, -0.001067, -0.00118, -0.0857, -0.008473, 0.1198, 0.0003371, -0.001468, -0.001291, 0.0004247, -0.0006971, 0.0006864, -0.04921, -0.00952, 0.06069, -0.0002353, 0.0002064, 5.177e-005
   50001,    12550,     3460,    24941,     4916, -948.032, -4511.800,    245,     86,   1526,     1,    -51,    -16,  20.139,   8.460, 912, 0.09917, 0.09949, 0.01444, -0.0408, -0.008163, 0.06694,   2.391,   2.391,   0.471,   0.471,   1.203,   1.195,   0.332,   0.339,  20.139,  19.887,   8.460,   8.551, 0.001201, -0.002149, -0.005262, 0.0007505, 0.002316, 0.006354, 0.002906, -0.4314, -0.05317, 0.649, -0.04128, 0.01556, 0.04807, 0.00358, 0.00304, -0.002237, -0.1462, -0.1453, 0.2941, -0.4458, 0.04612, 0.4506
   60000,    14658,     4386,    25924,     5899, -963.753, -4839.428,  -3236,   -660,   1891,   248,     -1,   -297,  20.212,   8.885, 912, 0.09626, 0.09908, 0.01392, -0.04291, -0.03299, 0.1029,   2.485,   2.485,   0.565,   0.565,   1.405,   1.395,   0.420,   0.428,  20.212,  19.948,   8.885,   8.850, 0.0006697, -0.001633, -0.004696, -0.0001435, 0.03432, 0.03477, 0.03442, -0.3992, 0.01099, 0.7579, -0.06558, 0.01849, 0.08819, -0.3164, 0.1835, 0.3285, -0.01249, -0.07374, 0.1838, -0.04056, -0.07343, 0.1307
   70001,    16719,     5359,    26907,     6882, -981.701, -31.197,   -353,  -2312,   3373,  4380,    723,  -7719,  19.754,   9.328, 912, 0.09289, 0.09902, 0.01482, -0.04112, -0.02614, 0.1289,   2.580,   2.580,   0.660,   0.660,   1.603,   1.594,   0.514,   0.520,  19.754,  19.913,   9.328,   9.242, 0.0001692, -0.001151, -0.002363, 0.002332, 0.02107, 0.02458, 0.02618, 0.1583, 0.04372, 0.1838, 0.01968, -0.01915, 0.04616, -0.006044, 0.01261, 0.01903, 0.09401, 0.01228, 0.03726, 0.02265, -0.103, 0.118
   80000,    18775,     6337,    27890,     7865, -1000.238, 1677.137,    234,    623,   2443,  8187,    472, -16856,  19.709,   9.372, 912, 0.09027, 0.09906, 0.01571, -0.04566, -0.03543, 0.1435,   2.674,   2.674,   0.754,   0.754,   1.800,   1.793,   0.607,   0.614,  19.709,  19.978,   9.372,   9.355, -0.001344, 0.0003436, -0.001448, 0.003126, 0.006391, 0.00943, 0.01163, 0.2292, 0.02053, 0.07185, -0.005171, 0.001287, -0.005868, -0.1138, 0.04104, 0.1201, 0.05305, 0.02188, 0.02459, 0.01015, -0.04248, 0.06178
   90001,    20839,     7316,    28873,     8848, -636.778, 1321.414,   -534,   -810,   1380,   893,   -866,  -9453,  19.789,   9.392, 912, 0.0881, 0.0993, 0.01641, -0.04903, -0.03945, 0.1518,   2.768,   2.768,   0.848,   0.848,   1.998,   1.995,   0.701,   0.708,  19.789,  20.159,   9.392,   9.380, -0.002708, 0.002071, -0.001844, 0.003166, 0.002028, 0.005489, 0.004192, 0.1968, 0.001212, 0.06504, 0.001213, 0.0008379, 0.0009527, -0.0619, -0.0354, 0.1175, 0.007158, 0.004504, 0.002963, -0.003654, -0.01399, 0.01514
