"% V-rep data recorded 02/06/17 08:46:09 "
"% FREQ =   9.425 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,      190,    -2124,      462,   -32306, -78.301, 247.553, 0,0,0, 0,0,0,   1.817, -20.372, 912, 0.09996, 0.1, 0.02949, 0.003632, -0.0003053, 0.0009632,   0.044,   0.044,  -3.097,  -3.097,   0.018,   0.015,  -0.204,  -0.198,   1.817,   1.541, -20.372, -19.834, 0.001988, -0.002066, -0.004027, 0.004275, -0.001244, -0.0007622, -0.0004693, 0.002664, 0.002308, -0.0004078, -0.003333, -0.002607, -0.003647, 0.00365, 0.005364, 0.0001296, 0.0001776, -0.0002067, -0.002586, -1.701e-005, -0.002291, -0.0006854
   10000,      709,    -4226,     1445,   -31323,  -1.711,  43.050,      0,      0,      0,     0,      1,  -4100,   4.975, -20.147, 912, 0.09993, 0.1, 0.02802, 0.005854, -0.0006149, 0.002323,   0.139,   0.139,  -3.003,  -3.003,   0.068,   0.064,  -0.405,  -0.397,   4.975,   4.821, -20.147, -19.898, 0.0004505, -0.0004523, -0.001718, 0.001761, -0.001974, 0.00189, -0.002324, 0.0005415, -0.00109, 0.000868, 0.001535, 0.003146, 0.001708, -0.002323, -0.003238, -0.001692, -0.0006498, -0.000991, 2.834e-005, 0.001934, 0.004331, 0.001375
   20000,     1408,    -6323,     2428,   -30340, -12.091, -12.707,    209,    -29,    128,   169,     25,  -1982,   6.701, -20.109, 912, 0.09991, 0.1, 0.02559, 0.007849, -0.0004573, 0.003848,   0.233,   0.233,  -2.909,  -2.909,   0.135,   0.130,  -0.606,  -0.597,   6.701,   6.629, -20.109, -19.934, -0.0004274, 0.0004153, -0.001235, 0.001223, 0.0001269, 0.000721, -0.0001006, -0.001297, -0.001285, -0.001768, 0.001583, 0.0009306, 0.001295, -0.001269, -0.004029, -0.0009793, 0.0002629, 0.001319, 0.0001453, 0.0006712, -0.002969, 0.0004455
   30000,     2180,    -8422,     3411,   -29357, -14.073, -15.896,    188,     15,    144,   -45,    -56,    -84,   7.407, -20.124, 912, 0.09989, 0.1, 0.02218, 0.01161, -0.000187, 0.005386,   0.327,   0.327,  -2.815,  -2.815,   0.209,   0.206,  -0.808,  -0.796,   7.407,   7.635, -20.124, -19.939, 0.001228, -0.001242, -0.001159, 0.001143, 0.001797, -0.0002107, 0.001303, -0.0007255, -0.0005296, -0.0003409, -0.0002607, -0.0002026, -0.0009765, 0.001194, 0.0005569, 0.000494, 0.0003703, -0.0003177, 0.000454, -0.0009799, -0.0003816, -0.00117
   40000,     3034,   -10514,     4394,   -28374, -4031.020, 312.399,    353,     25,    145,   -22,     -4,    -53,   8.189, -20.057, 912, 0.09969, 0.1, 0.01802, -0.01871, 0.003251, 0.001922,   0.421,   0.421,  -2.720,  -2.720,   0.291,   0.290,  -1.008,  -0.995,   8.189,   8.414, -20.057, -19.928, -0.001895, -0.002136, -0.001285, 0.001598, 0.001725, 0.001797, 0.003048, -0.0009439, 0.002219, 0.003534, -0.0008745, 0.004268, 0.001612, 0.00621, 0.006554, -0.004669, -0.4065, 0.109, 0.4017, 0.002338, 0.002995, -0.004365
   50001,     3975,   -12620,     5377,   -27391, -2666.044, -573.621,  -2844,    339,   -324,   -33,    -12,    -16,   9.022, -20.193, 912, 0.09829, 0.1005, 0.01452, -0.1162, 0.03244, -0.02295,   0.515,   0.515,  -2.626,  -2.626,   0.381,   0.377,  -1.210,  -1.194,   9.022,   8.616, -20.193, -19.900, 0.0004386, -0.003105, -0.002396, 0.001822, -0.03082, -0.005749, 0.04253, -0.2271, 0.0007791, 0.2992, -0.08755, 0.02358, 0.1262, 0.0007605, -0.006897, 0.002247, -0.2382, 0.1555, 0.2631, 0.000885, -0.005584, 0.002022
   60000,     4872,   -14754,     6360,   -26408, -1738.488, -142.133,  -9144,   2759,  -2364,   706,   -290,   -921,   8.599, -20.452, 912, 0.09606, 0.1011, 0.01295, -0.08029, 0.05786, -0.04113,   0.610,   0.610,  -2.532,  -2.532,   0.467,   0.468,  -1.415,  -1.393,   8.599,   9.125, -20.452, -19.891, 5.438e-005, -0.001793, -0.002161, 0.002019, 0.003542, -0.05155, 0.05569, -0.3778, -0.1404, 0.5811, -0.02076, 0.127, 0.2005, 0.000813, 0.005633, -0.00493, -0.2589, -0.5771, 0.417, -0.143, 0.02678, 0.1669
   70001,     5869,   -16841,     7343,   -25425, 930.794, 391.919,   3310,   2465,  -1597,  4592,  -2835,  -6279,   9.551, -20.015, 912, 0.09398, 0.1012, 0.0134, -0.02403, 0.04854, -0.05504,   0.704,   0.704,  -2.438,  -2.438,   0.563,   0.561,  -1.615,  -1.592,   9.551,   9.295, -20.015, -19.920, 0.003367, -0.002436, -0.0004057, 0.0007976, 0.02444, -0.006303, 0.01253, -0.2105, -0.2358, 0.4467, 0.09252, 0.07038, 0.03963, -0.002361, -0.003704, 0.001726, 0.1842, -0.1622, 0.09181, -0.03648, -0.01014, 0.07632
   80000,     6848,   -18907,     8326,   -24442, 214.170, 893.278,   5307,   -648,  -1006,  3910,   3690, -11891,   9.391, -19.804, 912, 0.09264, 0.1005, 0.01427, -0.01201, 0.01467, -0.05887,   0.798,   0.798,  -2.343,  -2.343,   0.657,   0.654,  -1.813,  -1.793,   9.391,   9.304, -19.804, -20.054, 0.00246, -0.002246, 0.002381, -0.001488, 0.001967, 0.005335, 0.003134, 0.03515, -0.1713, 0.2075, 0.002731, 0.002881, 0.001614, -0.0004853, 0.0003765, -0.001371, 0.2036, 0.02673, 0.09725, 0.0203, -0.05394, 0.04904
   90001,     7822,   -20653,     9309,   -23459, 660.130, 663.808,   1303,  -3112,   -302,   655,   3183, -13008,   9.335, -16.739, 912, 0.09191, 0.0998, 0.01487, -0.006552, -0.03027, -0.06129,   0.892,   0.892,  -2.249,  -2.249,   0.750,   0.747,  -1.980,  -1.972,   9.335,   9.332, -16.739, -17.949, 0.001915, -0.001255, 0.005237, -0.004574, 0.02441, 0.03603, 0.03212, 0.06382, -0.08499, 0.1487, -0.002345, -0.0007882, -0.004157, 3.484e-005, 0.0005156, -0.0009905, 0.08578, 0.1591, 0.1664, -0.002819, 0.003909, -0.005592
