"% V-rep data recorded 02/13/17 08:37:08 "
"% FREQ =   9.425 "
"% PHASE =   1.920 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2122,      -17,    20025,        0, -330.370,  -6.599, 0,0,0, 0,0,0,  20.343,  -0.171, 912, 0.1, 0.1, 0.02951, 0.002404, -0.0002649, 0.001732,   1.920,   1.920,   0.000,   0.000,   0.203,   0.199,  -0.002,   0.002,  20.343,  19.891,  -0.171,   0.242, 0.001778, -0.002108, -0.004847, 0.004841, 0.0007905, -0.001056, 0.0003021, 7.555e-005, 0.001581, 0.0002341, 0.0004492, -0.003054, -0.001093, 0.006478, 0.004269, 0.001131, -0.00185, -0.0001378, -0.002679, 0.003813, -0.002979, 0.001368
   10000,     4216,      358,    21008,      984,  27.924, -85.660,      0,      0,      0,     0,      1,  -4100,  20.068,   3.596, 912, 0.1001, 0.09998, 0.02804, -3.575e-005, -0.000537, 0.005087,   2.014,   2.014,   0.094,   0.094,   0.404,   0.400,   0.034,   0.040,  20.068,  20.080,   3.596,   3.717, -4.25e-006, 3.217e-005, -0.003147, 0.003061, -0.0002041, 0.00138, -0.0004952, -0.0004129, -0.0001626, -0.0002522, 0.002463, 0.002288, 0.002278, -0.001551, -0.003557, -0.0009889, -0.0008154, -0.0003349, -0.001388, 0.001192, 0.003944, 0.000263
   20000,     6291,      974,    21991,     1967,   8.553, -24.618,   -229,    -25,    315,  -193,     15,  -2038,  19.898,   5.909, 912, 0.1001, 0.09995, 0.02562, -0.004804, -0.0004833, 0.0101,   2.108,   2.108,   0.188,   0.188,   0.603,   0.599,   0.093,   0.099,  19.898,  19.912,   5.909,   5.971, 0.000617, -0.0006084, -0.002322, 0.002298, 0.0002292, 0.0005051, 0.0002438, -0.0003233, -0.0007022, -0.0001065, -0.0001633, 0.001087, 0.0001364, -0.002826, -0.004091, -0.001581, 0.0009894, 0.0008046, 7.134e-007, -0.001317, -0.003361, -0.001377
   30000,     8389,     1739,    22975,     2950,  52.617,  22.836,   -447,      8,    472,    -3,    -62,    -61,  20.115,   7.332, 912, 0.1002, 0.09993, 0.02222, -0.008996, -0.0004612, 0.01675,   2.203,   2.203,   0.283,   0.283,   0.804,   0.799,   0.167,   0.172,  20.115,  19.985,   7.332,   7.318, 0.0004796, -0.000427, -0.002113, 0.002136, 0.0006112, -0.0001359, 0.0003999, 0.0001671, -0.0004909, 4.64e-005, -0.001242, -0.0002298, -0.001699, -0.0001564, 0.001807, -0.001774, 0.001021, 8.58e-005, 0.001118, -0.001479, -0.002213, -0.001988
   40000,    10486,     2579,    23958,     3933, -411.909, -875.997,   -393,      7,    625,    -4,    -27,    -58,  20.103,   8.055, 912, 0.1002, 0.09992, 0.01791, -0.005903, 0.0006267, 0.02528,   2.297,   2.297,   0.377,   0.377,   1.005,   0.999,   0.247,   0.254,  20.103,  20.037,   8.055,   8.144, 0.0004701, -0.000882, -0.002938, 0.002062, 0.001114, -0.001178, -0.001262, -0.0915, -0.01092, 0.1255, 0.0002498, -0.001475, -0.00137, 0.0008241, -0.001271, 0.0006452, -0.04924, -0.01294, 0.06095, -0.0001589, 0.0001522, -0.0001215
   50001,    12602,     3447,    24941,     4916, -875.430, -4848.152,    292,     98,    801,    -6,    -18,    -19,  20.294,   8.319, 912, 0.09914, 0.09954, 0.01452, -0.03825, -0.00746, 0.03705,   2.391,   2.391,   0.471,   0.471,   1.208,   1.196,   0.330,   0.339,  20.294,  19.716,   8.319,   8.525, 0.0009329, -0.001808, -0.005202, 0.0003534, 0.00218, 0.006216, 0.0032, -0.4632, -0.06538, 0.6756, -0.02768, 0.01421, 0.03454, 0.00327, 0.003581, -0.002248, -0.1337, -0.1383, 0.2826, -0.472, 0.05391, 0.4784
   60000,    14660,     4354,    25924,     5899, -817.811, -5249.388,  -3054,   -682,   1104,   253,     35,   -314,  19.724,   8.699, 912, 0.09624, 0.09914, 0.0141, -0.03773, -0.03119, 0.06916,   2.485,   2.485,   0.565,   0.565,   1.405,   1.395,   0.417,   0.427,  19.724,  19.913,   8.699,   8.805, 0.0004546, -0.001272, -0.004768, -0.0004815, 0.02469, 0.02506, 0.02826, -0.4684, -0.006852, 0.8146, -0.04598, 0.01423, 0.06253, -0.3002, 0.1615, 0.3127, 0.0179, -0.1081, 0.1475, -0.04057, -0.06586, 0.1344
   70001,    16744,     5348,    26907,     6882, -1039.706, 397.186,    -34,  -2227,   3014,  4470,    757,  -8056,  19.982,   9.534, 912, 0.09273, 0.099, 0.01508, -0.03813, -0.0214, 0.09786,   2.580,   2.580,   0.660,   0.660,   1.605,   1.594,   0.513,   0.520,  19.982,  19.871,   9.534,   9.239, 0.000197, -0.001237, -0.00123, 0.001628, 0.005749, 0.00215, 0.004824, 0.1182, 0.05099, 0.2094, 0.01042, -0.009853, 0.02081, -0.005751, 0.01721, 0.01937, 0.09331, 0.03082, 0.03868, 0.02711, -0.1055, 0.122
   80000,    18814,     6334,    27890,     7865, -1050.509, 1726.128,     26,    920,   2696,  8002,    686, -16843,  19.848,   9.450, 912, 0.08991, 0.09894, 0.01587, -0.03876, -0.03424, 0.1194,   2.674,   2.674,   0.754,   0.754,   1.804,   1.794,   0.607,   0.613,  19.848,  19.972,   9.450,   9.379, -0.001413, 0.0003628, -0.001418, 0.003144, 0.0001883, -0.0009016, -0.0001078, 0.2125, 0.03977, 0.07365, -0.003261, 0.001075, -0.004051, -0.113, 0.06076, 0.1072, 0.05289, 0.02315, 0.02592, 0.01153, -0.05329, 0.06812
   90001,    20879,     7318,    28873,     8848, -469.528, 1564.068,   -176,  -1193,   2026,  1534,   -769,  -9414,  19.795,   9.430, 912, 0.08742, 0.09924, 0.01654, -0.04443, -0.03534, 0.1257,   2.768,   2.768,   0.848,   0.848,   2.002,   1.995,   0.702,   0.708,  19.795,  20.120,   9.430,   9.456, -0.002806, 0.002337, -0.001742, 0.003306, -0.001716, -0.0005874, -0.002963, 0.1883, 0.02814, 0.06456, -0.0005508, 0.0003401, -0.002302, -0.04522, 0.0307, 0.09177, 0.007052, 0.004409, 0.002893, -0.009789, -0.02357, 0.02541
