"% V-rep data recorded Tue 08 Nov 2016 09:18:26 AM PST "
"% FREQ =  25.133 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 25 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2082,      -78,   -32767,        0,   6.152,  -1.660, 0,0,0, 0,0,0, -19.963,  -0.754, 912, 0.09989, 0.09995, 0.02951, -0.0004422, 0.0009431, -0.00488,  -3.142,  -3.142,   0.000,   0.000,  -0.200,  -0.204,  -0.008,   0.000, -19.963, -20.357,  -0.754,   0.015, 2.028e-05, -1.413e-05, -2.878e-06, 1.218e-06, -1.103e-07, 5.156e-07, -9.022e-07, -4.692e-07, 7.951e-07, -1.37e-06, 2.753e-06, 1.229e-06, 1.268e-06, -2.668e-06, -1.81e-06, -2.402e-06, 2.033e-06, -7.107e-07, -2.358e-06, -1.599e-06, 1.917e-06, -1.984e-06
   10000,    -4150,      959,   -30146,     2622,   0.863,   0.045,      0,      0,      0,     0,      1,  -4100, -19.825,   9.943, 912, 0.09983, 0.09991, 0.02806, -0.002941, 0.001214, -0.008221,  -2.890,  -2.890,   0.251,   0.251,  -0.398,  -0.404,   0.092,   0.099, -19.825, -20.013,   9.943,   9.930, -4.801e-06, 5.664e-06, -6.992e-06, 7.037e-06, 8.37e-07, 1.374e-08, 2.189e-07, -1.019e-06, -4.112e-07, 6.238e-07, -7.815e-07, -1.773e-06, -7.46e-07, 4.333e-07, -1.518e-06, -2.48e-07, -1.863e-07, 1.422e-06, -5.048e-07, 1.06e-06, -3.178e-06, 1.349e-06
   20000,    -6241,     2609,   -27525,     5243,   0.500,  -0.575,   -234,     25,   -313,   454,    315,  -2053, -20.050,  15.823, 912, 0.09979, 0.09987, 0.02565, -0.006063, 0.001571, -0.01145,  -2.639,  -2.639,   0.503,   0.503,  -0.598,  -0.605,   0.250,   0.259, -20.050, -20.114,  15.823,  15.940, 1.951e-06, -1.451e-06, -5.243e-06, 4.668e-06, 6.197e-07, 8.13e-08, 2.894e-07, -4.462e-07, 2.464e-07, -1.628e-07, 3.788e-07, 6.119e-07, 9.321e-08, 3.972e-07, -4.631e-07, 5.174e-08, -4.704e-07, -3.142e-07, -2.086e-07, -6.414e-07, -2.398e-08, -7.239e-07
   30000,    -8375,     4568,   -24903,     7865,   0.435,  -0.717,   -293,     32,   -303,  -194,   -148,    -51, -20.460,  18.777, 912, 0.09977, 0.09983, 0.02227, -0.009061, 0.001886, -0.01435,  -2.388,  -2.388,   0.754,   0.754,  -0.803,  -0.806,   0.438,   0.447, -20.460, -20.079,  18.777,  18.790, 9.035e-06, -8.6e-06, -2.865e-06, 2.147e-06, 1.62e-07, 8.081e-07, -9.347e-08, -2.591e-07, -4.334e-07, -3.584e-07, 1.929e-07, 1.809e-06, 2.98e-08, 2.409e-07, 7.348e-08, -8.188e-08, 2.392e-07, 4.605e-07, 2.045e-08, -4.795e-07, -1.055e-06, -1.032e-07
   40000,   -10459,     6508,   -22282,    10486,   0.597, -17.006,   -281,     27,   -272,  -102,     12,   -107, -19.983,  18.599, 912, 0.09963, 0.0999, 0.01823, 0.00694, 0.00433, -0.01316,  -2.136,  -2.136,   1.005,   1.005,  -1.003,  -1.008,   0.624,   0.645, -19.983, -20.216,  18.599,  19.780, 1.575e-05, -1.515e-05, -1.175e-05, -5.251e-06, 3.711e-06, -9.531e-07, -2.825e-06, -0.001999, -0.0006561, 0.003186, 2.638e-06, 3.314e-07, -2.089e-06, 7.577e-07, -2.133e-07, 8.189e-07, -1.082e-06, -2.147e-06, 1.087e-06, 1.342e-06, -2.058e-06, 1.96e-06
   50000,   -12552,     8463,   -19660,    13108, -40.158, -31.005,   1499,    252,    114,   -83,     20,    -96, -20.067,  18.746, 912, 0.09847, 0.09991, 0.01518, 0.08808, 0.02935, 0.01138,  -1.885,  -1.885,   1.257,   1.257,  -1.203,  -1.211,   0.811,   0.836, -20.067, -20.307,  18.746,  19.187, -2.173e-05, -1.843e-05, 4.234e-06, -3.524e-05, 1.716e-06, 3.954e-06, -1.207e-06, -0.003464, -0.002973, 0.005943, 2.079e-06, -1.6e-06, 8.593e-07, 8.138e-07, 3.438e-06, -4.727e-06, -0.005244, -0.001561, 0.007166, -0.0001213, -3.528e-05, 0.0002357
   60000,   -14317,    10539,   -17039,    15729, -22.713, -16.371,   7585,   2450,   2334,   493,   -184,  -1239, -16.923,  19.898, 912, 0.09678, 0.09902, 0.01506, 0.05822, 0.02345, 0.0415,  -1.634,  -1.634,   1.508,   1.508,  -1.373,  -1.379,   1.010,   1.032, -16.923, -16.772,  19.898,  19.598, -1.592e-05, -6.793e-06, 6.662e-06, -2.303e-05, -3.401e-08, -3.354e-06, -1.809e-06, 3.246e-05, -0.0014, 0.005152, -0.001285, 0.0004849, 0.002753, -6.775e-09, -2.464e-06, -3.496e-06, -0.009621, 0.006026, 0.01159, -0.0006938, -0.0002935, 0.001289
   70000,   -14338,    12665,   -14417,    18351,  -1.010,   7.560,  -2808,   -520,   2746,  3874,    834,  -7725,  -0.193,  20.386, 912, 0.09549, 0.09932, 0.01692, 0.06295, -0.008582, 0.06066,  -1.382,  -1.382,   1.759,   1.759,  -1.375,  -1.379,   1.214,   1.235,  -0.193,  -0.082,  20.386,  20.289, 8.075e-06, -9.084e-06, -3.189e-06, 1.075e-05, -1.096e-06, -8.361e-07, -1.033e-06, 0.0007973, -0.0004145, 0.0004709, -1.658e-06, -4.395e-06, -4.671e-06, -9.1e-07, 1.726e-06, -2.142e-06, -0.001518, 0.002861, 0.003425, -1.472e-07, 3.008e-06, -1.766e-06
   80000,   -13327,    14726,   -11796,    20972,  -0.658,  -0.147,    320,  -3022,   1808,  3339,     47, -17089,   9.686,  19.762, 912, 0.0943, 0.09977, 0.01802, 0.07064, -0.0434, 0.0804,  -1.131,  -1.131,   2.011,   2.011,  -1.278,  -1.283,   1.412,   1.435,   9.686,   9.613,  19.762,  19.986, 1.087e-05, -1.152e-05, -1.034e-05, 1.019e-05, -6.369e-07, -6.783e-08, -2.211e-07, -1.09e-06, -4.917e-07, -9.554e-08, -1.315e-06, -2.562e-06, -1.255e-06, 5.493e-07, 1.267e-06, -3.03e-07, -1.851e-06, -2.552e-07, -3.092e-06, -2.188e-07, 4.377e-07, -7.795e-08
   90000,   -11679,    16759,    -9175,    23593,  -3.157,  -2.996,    523,  -3306,   1844, -1165,  -4786, -12626,  15.806,  19.489, 912, 0.09309, 0.1002, 0.01813, 0.07919, -0.07791, 0.101,  -0.880,  -0.880,   2.262,   2.262,  -1.120,  -1.126,   1.607,   1.637,  15.806,  15.739,  19.489,  20.147, 1.046e-05, -1.362e-05, -4.746e-06, 1.751e-06, -1.126e-06, -6.915e-07, -1.436e-07, 1.111e-06, -6.36e-07, -4.675e-09, -1.148e-06, 1.185e-06, -5.521e-07, 4.382e-07, 2.27e-07, -1.403e-07, -0.0004034, -0.0001935, 0.0005688, 3.146e-07, -1.963e-07, -7.335e-07
